brand,model,model_year,milage,fuel_type,engine,transmission,ext_col,int_col,accident,clean_title,price,car_age,accident_binary,clean_title_binary,brand_enc,fuel_type_enc,transmission_enc,ext_col_enc,int_col_enc,price_category,cluster_KMeans,cluster_Agglomerative,cluster_DBSCAN,cluster_MeanShift,cluster,cluster_label
Ford,Transit Connect XL,2018,66770,E85 Flex Fuel,169.0HP 2.5L 4 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Red,Unknown,None reported,Unknown,21500.0,8,0,0,12,1,14,198,126,Mid-Range,3,2,-1,3,3,
Buick,Verano Convenience,2013,68325,E85 Flex Fuel,180.0HP 2.4L 4 Cylinder Engine Flex Fuel Capability,Transmission w/Dual Shift Mode,Silver,Gray,None reported,Yes,11995.0,13,0,1,6,1,51,223,57,Budget,2,4,-1,2,2,
GMC,Sierra 2500 SLE,2015,116210,E85 Flex Fuel,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,Transmission Overdrive Switch,Black,Beige,None reported,Yes,31900.0,11,0,1,13,1,50,20,9,Mid-Range,2,4,-1,2,2,
Toyota,Sequoia SR5,2013,138700,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,At least 1 accident or damage reported,Yes,18800.0,13,1,1,49,1,31,263,57,Budget,1,4,-1,2,1,Economy
Chevrolet,Tahoe LT,2011,92530,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Red,Black,At least 1 accident or damage reported,Yes,18500.0,15,1,1,8,1,31,198,10,Budget,6,4,0,2,6,
Cadillac,Escalade EXT Base,2009,155000,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Red,Beige,At least 1 accident or damage reported,Yes,16900.0,17,1,1,7,1,14,198,9,Budget,1,4,0,2,1,Economy
Chevrolet,Silverado 1500 1LT,2018,81000,E85 Flex Fuel,285.0HP 4.3L V6 Cylinder Engine Flex Fuel Capability,A/T,Red,Gray,None reported,Yes,32000.0,8,0,1,8,1,31,198,57,Mid-Range,6,4,1,2,6,
Toyota,Sequoia Platinum,2011,173456,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Gray,At least 1 accident or damage reported,Yes,16000.0,15,1,1,49,1,14,20,57,Budget,1,4,-1,2,1,Economy
Ford,Transit-350 XLT,2021,48000,E85 Flex Fuel,275.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,None reported,Yes,57000.0,5,0,1,12,1,31,263,57,Premium,6,4,1,2,6,
Chevrolet,Suburban 1500 LT,2014,169500,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Purple,Brown,None reported,Yes,15000.0,12,0,1,8,1,31,191,23,Budget,6,4,1,2,6,
Cadillac,Escalade Premium,2010,104000,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Gray,Unknown,None reported,Yes,19500.0,16,0,1,7,1,31,104,126,Budget,6,4,1,2,6,
Audi,A4 2.0T Premium,2015,91403,E85 Flex Fuel,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,8-Speed Automatic,Silver,Gray,None reported,Unknown,14998.0,11,0,0,3,1,26,223,57,Budget,3,2,-1,3,3,
Cadillac,Escalade Luxury,2013,95570,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,At least 1 accident or damage reported,Yes,22000.0,13,1,1,7,1,31,20,10,Mid-Range,6,4,0,2,6,
RAM,1500 Classic Warlock,2019,19000,E85 Flex Fuel,3.6L V6 24V MPFI DOHC Flexible Fuel,8-Speed Automatic,Diamond Black,Diesel Gray / Black,At least 1 accident or damage reported,Unknown,33242.0,7,1,0,40,1,26,72,44,Mid-Range,3,2,-1,3,3,
Ford,Escape XLT,2012,186268,E85 Flex Fuel,240.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Blue,Black,None reported,Yes,4500.0,14,0,1,12,1,14,29,10,Budget,6,4,1,2,6,
Chevrolet,Tahoe LT,2017,61720,E85 Flex Fuel,5.3 Liter,Automatic,Silver,Jet Black,At least 1 accident or damage reported,Unknown,39998.0,9,1,0,8,1,33,223,63,Premium,3,2,-1,3,3,
RAM,1500 Classic Warlock,2019,36757,E85 Flex Fuel,3.6L V6 24V MPFI DOHC Flexible Fuel,8-Speed Automatic,Diamond Black,Diesel Gray / Black,None reported,Yes,31953.0,7,0,1,40,1,26,72,44,Mid-Range,0,4,-1,2,0,
RAM,1500 SLT,2018,61802,E85 Flex Fuel,305.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,8-Speed A/T,Black,Gray,None reported,Yes,32000.0,8,0,1,40,1,25,20,57,Mid-Range,0,4,-1,2,0,
Jeep,Grand Cherokee Laredo,2013,106700,E85 Flex Fuel,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,13500.0,13,0,1,20,1,14,20,10,Budget,6,4,1,2,6,
Ford,E350 Super Duty XLT,2012,163000,E85 Flex Fuel,255.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,None reported,Yes,19550.0,14,0,1,12,1,31,263,57,Budget,6,4,1,2,6,
Ford,F-150 XL,2016,107000,E85 Flex Fuel,385.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,22000.0,10,1,1,12,1,14,263,57,Mid-Range,6,4,0,2,6,
Chevrolet,Suburban 1500 LTZ,2011,194000,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,9950.0,15,0,1,8,1,14,20,10,Budget,6,4,1,2,6,
Chevrolet,Avalanche 1500 LT,2012,148000,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,None reported,Yes,18000.0,14,0,1,8,1,31,20,10,Budget,6,4,1,2,6,
Nissan,Titan SE,2009,127600,E85 Flex Fuel,317.0HP 5.6L 8 Cylinder Engine Flex Fuel Capability,A/T,Brown,Gray,None reported,Yes,19500.0,17,0,1,35,1,31,38,57,Budget,6,4,-1,2,6,
GMC,Sierra 1500 SLT,2013,230000,E85 Flex Fuel,315.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Black,None reported,Yes,15500.0,13,0,1,13,1,31,263,10,Budget,6,4,-1,2,6,
Ford,Explorer XLT,2017,169000,E85 Flex Fuel,290.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Beige,None reported,Yes,13000.0,9,0,1,12,1,31,263,9,Budget,6,4,1,2,6,
Mercedes-Benz,GLA 250 Base 4MATIC,2018,56578,E85 Flex Fuel,208.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,7-Speed A/T,White,Black,None reported,Yes,20900.0,8,0,1,32,1,20,263,10,Mid-Range,6,4,-1,2,6,
Audi,A4 2.0T Premium Plus,2015,73000,E85 Flex Fuel,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,At least 1 accident or damage reported,Yes,17200.0,11,1,1,3,1,31,20,10,Budget,4,4,0,2,4,Luxury
GMC,Yukon SLT,2010,194500,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,9500.0,16,1,1,13,1,14,263,9,Budget,1,4,0,2,1,Economy
GMC,Sierra 2500 Base,2019,58000,E85 Flex Fuel,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,A/T,Silver,Beige,None reported,Yes,36500.0,7,0,1,13,1,31,223,9,Mid-Range,6,4,1,2,6,
Chevrolet,Silverado 2500 LT,2016,84421,E85 Flex Fuel,360.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Black,None reported,Yes,36800.0,10,0,1,8,1,14,263,10,Mid-Range,6,4,1,2,6,
Chevrolet,Suburban 1500 LS,2004,171750,E85 Flex Fuel,295.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,4-Speed A/T,White,Beige,At least 1 accident or damage reported,Yes,12998.0,22,1,1,8,1,6,263,9,Budget,1,4,0,2,1,Economy
Chevrolet,Avalanche 1500 LS,2012,56000,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Red,Black,At least 1 accident or damage reported,Yes,18000.0,14,1,1,8,1,31,198,10,Budget,4,4,0,2,4,Luxury
Chevrolet,Tahoe LTZ,2007,177000,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,4-Speed A/T,Gold,Beige,At least 1 accident or damage reported,Yes,10750.0,19,1,1,8,1,6,99,9,Budget,1,4,0,2,1,Economy
Ford,F-250 Lariat,2017,72128,E85 Flex Fuel,6.2L V8 16V MPFI SOHC Flexible Fuel,6-Speed Automatic,White,Camel,None reported,Unknown,45985.0,9,0,0,12,1,15,263,24,Premium,3,2,-1,3,3,
Chevrolet,Tahoe LTZ,2014,196300,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Yes,10995.0,12,0,1,8,1,14,20,10,Budget,6,4,1,2,6,
Land,Rover Range Rover Sport Supercharged,2014,125000,E85 Flex Fuel,510.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,8-Speed A/T,White,Brown,At least 1 accident or damage reported,Yes,22500.0,12,1,1,23,1,25,263,23,Mid-Range,6,4,0,2,6,
Ford,Focus SE,2014,60109,E85 Flex Fuel,160.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Gray,Black,None reported,Yes,9499.0,12,0,1,12,1,14,104,10,Budget,6,4,1,2,6,
Bentley,Continental GT Base,2012,79089,E85 Flex Fuel,567.0HP 6.0L 12 Cylinder Engine Flex Fuel Capability,A/T,White,Beige,None reported,Yes,46999.0,14,0,1,5,1,31,263,9,Premium,6,4,1,2,6,
Chrysler,200 C,2015,44000,E85 Flex Fuel,295.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Black,At least 1 accident or damage reported,Yes,12700.0,11,1,1,9,1,31,263,10,Budget,4,4,0,2,4,Luxury
Chevrolet,Avalanche 1500 LTZ,2007,75124,E85 Flex Fuel,310.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Red,Gray,None reported,Yes,16499.0,19,0,1,8,1,31,198,57,Budget,6,4,1,2,6,
Toyota,Sequoia Limited,2017,67000,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Silver,Gray,None reported,Yes,37999.0,9,0,1,49,1,14,223,57,Mid-Range,0,4,-1,2,0,
Chrysler,Town & Country Touring,2012,74582,E85 Flex Fuel,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Unknown,None reported,Yes,8500.0,14,0,1,9,1,14,20,126,Budget,6,4,1,2,6,
Chevrolet,Silverado 1500 1LZ,2014,111095,E85 Flex Fuel,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,26000.0,12,1,1,8,1,14,263,10,Mid-Range,6,4,0,2,6,
Chevrolet,Suburban 1500 LT,2015,153800,E85 Flex Fuel,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,23000.0,11,1,1,8,1,14,223,10,Mid-Range,6,4,0,2,6,
Ford,F-250 Platinum,2017,22000,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Beige,Black,At least 1 accident or damage reported,Yes,53000.0,9,1,1,12,1,14,17,10,Premium,4,4,0,2,4,Luxury
Ford,F-250 Lariat,2019,80200,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Black,None reported,Yes,42500.0,7,0,1,12,1,31,263,10,Premium,6,4,1,2,6,
Ford,F-250 XL,2014,35900,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,Transmission w/Dual Shift Mode,Blue,Gray,At least 1 accident or damage reported,Yes,27900.0,12,1,1,12,1,51,29,57,Mid-Range,4,4,-1,2,4,Luxury
Chevrolet,Avalanche 1500 LT,2007,244000,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Gray,Gray,None reported,Yes,16900.0,19,0,1,8,1,31,104,57,Budget,8,4,-1,2,8,Standard
Cadillac,Escalade ESV Base,2009,152068,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Black,At least 1 accident or damage reported,Yes,12350.0,17,1,1,7,1,14,263,10,Budget,1,4,0,2,1,Economy
Chevrolet,Silverado 1500 2LT,2014,102604,E85 Flex Fuel,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Gray,Gray,None reported,Yes,25500.0,12,0,1,8,1,14,104,57,Mid-Range,6,4,1,2,6,
Ford,F-250 XLT,2019,124000,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Gray,None reported,Yes,40100.0,7,0,1,12,1,14,263,57,Premium,6,4,1,2,6,
Ford,Expedition EL King Ranch,2011,156856,E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Brown,None reported,Yes,14300.0,15,0,1,12,1,14,20,23,Budget,6,4,1,2,6,
Dodge,Avenger SE,2014,124705,E85 Flex Fuel,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,None reported,Yes,6499.0,12,0,1,10,1,31,20,10,Budget,6,4,1,2,6,
Toyota,Tundra SR,2018,74000,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Beige,Black,At least 1 accident or damage reported,Yes,38000.0,8,1,1,49,1,14,17,10,Mid-Range,4,4,-1,2,4,Luxury
Ford,Focus SE,2017,91000,E85 Flex Fuel,160.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Gray,Black,None reported,Yes,12500.0,9,0,1,12,1,14,104,10,Budget,6,4,1,2,6,
Mercedes-Benz,M-Class ML 350 4MATIC,2014,75073,E85 Flex Fuel,302.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,7-Speed A/T,Gray,Black,None reported,Yes,21500.0,12,0,1,32,1,20,104,10,Mid-Range,6,4,1,2,6,
Audi,Q5 2.0T Premium Plus,2015,118500,E85 Flex Fuel,220.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,A/T,Silver,Black,At least 1 accident or damage reported,Yes,15400.0,11,1,1,3,1,31,223,10,Budget,6,4,0,2,6,
Ford,Focus SEL,2017,80134,E85 Flex Fuel,2.0L I4 16V GDI DOHC Flexible Fuel,6-Speed Automatic with Auto-Shift,White,Charcoal Black,None reported,Yes,13895.0,9,0,1,12,1,16,263,32,Budget,6,4,1,2,6,
Ford,Ranger XLT,1999,115402,E85 Flex Fuel,152.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,A/T,Gold,Beige,None reported,Yes,8000.0,27,0,1,12,1,31,99,9,Budget,8,0,-1,2,8,Standard
Cadillac,Escalade ESV Platinum Edition,2013,119000,E85 Flex Fuel,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,None reported,Unknown,20500.0,13,0,0,7,1,31,20,10,Mid-Range,3,2,-1,3,3,
Dodge,Ram 1500 ST,2010,131100,E85 Flex Fuel,310.0HP 4.7L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,At least 1 accident or damage reported,Yes,12995.0,16,1,1,10,1,31,263,57,Budget,1,4,0,2,1,Economy
Chevrolet,Avalanche 1500 LS,2005,97146,E85 Flex Fuel,295.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,Transmission Overdrive Switch,Black,Gray,At least 1 accident or damage reported,Yes,7999.0,21,1,1,8,1,50,20,57,Budget,1,4,-1,2,1,Economy
Land,Rover Range Rover 5.0L Supercharged,2015,110000,E85 Flex Fuel,510.0HP 5.0L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,Unknown,At least 1 accident or damage reported,Yes,26499.0,11,1,1,23,1,31,20,126,Mid-Range,6,4,0,2,6,
Ford,F-250 Lariat,2017,132269,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Gray,Black,None reported,Yes,35900.0,9,0,1,12,1,31,104,10,Mid-Range,6,4,1,2,6,
GMC,Savana 2500 Work Van,2017,117000,E85 Flex Fuel,342.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Silver,Silver,None reported,Yes,38000.0,9,0,1,13,1,14,223,116,Mid-Range,6,4,1,2,6,
Chevrolet,Silverado 2500 WT,2018,141195,E85 Flex Fuel,6.0L V8 16V MPFI OHV Flexible Fuel,6-Speed Automatic,Summit White,Dark Ash,None reported,Unknown,28499.0,8,0,0,8,1,15,241,38,Mid-Range,6,2,-1,3,6,
Chrysler,200 Limited,2015,95271,E85 Flex Fuel,184.0HP 2.4L 4 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,None reported,Unknown,12468.0,11,0,0,9,1,31,20,10,Budget,3,2,-1,3,3,
Dodge,Grand Caravan R/T,2013,43000,E85 Flex Fuel,283.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Red,Black,None reported,Yes,35000.0,13,0,1,10,1,14,198,10,Mid-Range,6,4,1,2,6,
Ford,Focus SE,2018,33700,E85 Flex Fuel,160.0HP 2.0L 4 Cylinder Engine Flex Fuel Capability,A/T,Gray,Black,At least 1 accident or damage reported,Yes,12000.0,8,1,1,12,1,31,104,10,Budget,4,4,0,2,4,Luxury
Ford,F-250 XL,2016,75200,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Gray,None reported,Yes,22000.0,10,0,1,12,1,14,263,57,Mid-Range,6,4,1,2,6,
Ford,F-250 XLT,2019,32268,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Gray,None reported,Yes,46500.0,7,0,1,12,1,14,263,57,Premium,6,4,1,2,6,
Ford,F-350 XLT,2013,31000,E85 Flex Fuel,316.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,Gray,At least 1 accident or damage reported,Yes,35000.0,13,1,1,12,1,31,20,57,Mid-Range,4,4,0,2,4,Luxury
Ford,F-250 XLT,2019,38514,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,Gray,At least 1 accident or damage reported,Yes,45998.0,7,1,1,12,1,31,20,57,Premium,4,4,0,2,4,Luxury
Ford,Explorer XLT,2017,53000,E85 Flex Fuel,290.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Red,Gray,At least 1 accident or damage reported,Yes,25000.0,9,1,1,12,1,14,198,57,Mid-Range,6,4,0,2,6,
Chevrolet,Suburban LTZ,2016,110000,E85 Flex Fuel,355.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Brown,Brown,None reported,Yes,30999.0,10,0,1,8,1,31,38,23,Mid-Range,6,4,1,2,6,
Chevrolet,Express 2500 Work Van,2012,140500,E85 Flex Fuel,324.0HP 6.0L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,None reported,Yes,11800.0,14,0,1,8,1,31,263,57,Budget,6,4,1,2,6,
GMC,Yukon SLT,2014,142400,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,At least 1 accident or damage reported,Yes,13500.0,12,1,1,13,1,31,20,10,Budget,6,4,0,2,6,
Lincoln,Navigator Base,2013,134000,E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Red,Black,None reported,Yes,21500.0,13,0,1,25,1,14,198,10,Mid-Range,6,4,1,2,6,
Ford,Expedition Limited,2013,163500,E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,A/T,Gray,Black,None reported,Yes,16490.0,13,0,1,12,1,31,104,10,Budget,6,4,1,2,6,
Cadillac,SRX Luxury Collection,2012,87500,E85 Flex Fuel,308.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Beige,None reported,Yes,11499.0,14,0,1,7,1,31,263,9,Budget,6,4,1,2,6,
Ford,F-250 XLT,2017,29719,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,None reported,Yes,31000.0,9,0,1,12,1,31,263,57,Mid-Range,6,4,1,2,6,
Chevrolet,Suburban 1500 LTZ,2010,162671,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Black,Black,None reported,Yes,12000.0,16,0,1,8,1,31,20,10,Budget,6,4,1,2,6,
Mercedes-Benz,M-Class ML 350 4MATIC,2015,88000,E85 Flex Fuel,302.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,A/T,Silver,Gray,None reported,Yes,19500.0,11,0,1,32,1,31,223,57,Budget,6,4,1,2,6,
GMC,Sierra 1500 SLE,2014,100080,E85 Flex Fuel,285.0HP 4.3L V6 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Gray,None reported,Yes,22989.0,12,0,1,13,1,14,263,57,Mid-Range,6,4,1,2,6,
Ford,F-250 XLT,2016,94300,E85 Flex Fuel,385.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Silver,Gray,At least 1 accident or damage reported,Yes,28999.0,10,1,1,12,1,14,223,57,Mid-Range,6,4,0,2,6,
Chrysler,200 C,2015,170000,E85 Flex Fuel,295.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,9-Speed A/T,Silver,Black,At least 1 accident or damage reported,Yes,5995.0,11,1,1,9,1,29,223,10,Budget,1,4,0,2,1,Economy
Chevrolet,Tahoe LT,2012,162731,E85 Flex Fuel,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Brown,Gray,None reported,Yes,14500.0,14,0,1,8,1,31,38,57,Budget,6,4,1,2,6,
Ford,Expedition EL XLT,2011,195500,E85 Flex Fuel,310.0HP 5.4L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,White,Beige,None reported,Yes,8999.0,15,0,1,12,1,14,263,9,Budget,6,4,1,2,6,
Chevrolet,Avalanche 1500 LS,2005,130000,E85 Flex Fuel,295.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,A/T,Red,Gray,None reported,Yes,7200.0,21,0,1,8,1,31,198,57,Budget,6,0,1,2,6,
Ford,Fusion SE,2012,160000,E85 Flex Fuel,240.0HP 3.0L V6 Cylinder Engine Flex Fuel Capability,A/T,Gray,Black,None reported,Yes,4500.0,14,0,1,12,1,31,104,10,Budget,6,4,1,2,6,
Ford,E250 Cargo,2013,87501,E85 Flex Fuel,225.0HP 4.6L 8 Cylinder Engine Flex Fuel Capability,4-Speed A/T,White,Gray,At least 1 accident or damage reported,Yes,17777.0,13,1,1,12,1,6,263,57,Budget,6,4,0,2,6,
RAM,1500 Tradesman/Express,2017,26269,E85 Flex Fuel,3.6L V6 24V MPFI DOHC Flexible Fuel,8-Speed Automatic,Bright White Clearcoat,Black,At least 1 accident or damage reported,Unknown,25307.0,9,1,0,40,1,26,34,10,Mid-Range,3,2,-1,3,3,
Jeep,Grand Cherokee Limited,2015,93400,E85 Flex Fuel,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Black,None reported,Yes,18900.0,11,0,1,20,1,31,263,10,Budget,6,4,1,2,6,
Jeep,Grand Cherokee Laredo,2012,166000,E85 Flex Fuel,290.0HP 3.6L V6 Cylinder Engine Flex Fuel Capability,A/T,White,Gray,At least 1 accident or damage reported,Yes,13000.0,14,1,1,20,1,31,263,57,Budget,1,4,0,2,1,Economy
Toyota,Tundra TRD Pro,2016,51400,E85 Flex Fuel,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,6-Speed A/T,Black,Black,None reported,Unknown,39900.0,10,0,0,49,1,14,20,10,Premium,3,4,-1,3,3,
